,vc,br,conc,cond,well,log10conc,dose_conds_rlu
182,VC DMSO 0.3%,1,0.0123456790123457,Ko_58,K9,-1.90848501887865,0.88365175032259
183,VC DMSO 0.3%,1,0.037037037037037,Ko_58,K7,-1.43136376415899,0.889588309762181
184,VC DMSO 0.3%,1,0.111111111111111,Ko_58,K5,-0.954242509439325,0.878015430369186
185,VC DMSO 0.3%,1,0.333333333333333,Ko_58,K3,-0.477121254719662,0.844045272134236
186,VC DMSO 0.3%,1,1,Ko_58,K1,0,0.866852971861341
187,VC DMSO 0.3%,1,0.00411522633744856,Mo_07,K12,-2.38560627359831,0.949916586112048
188,VC DMSO 0.3%,1,0.0123456790123457,Mo_07,K10,-1.90848501887865,0.945023255512918
189,VC DMSO 0.3%,1,0.037037037037037,Mo_07,K8,-1.43136376415899,0.904020178690459
190,VC DMSO 0.3%,1,0.111111111111111,Mo_07,K6,-0.954242509439325,0.898256993567328
191,VC DMSO 0.3%,1,0.333333333333333,Mo_07,K4,-0.477121254719662,0.920506715335158
192,VC DMSO 0.3%,1,1,Mo_07,K2,0,0.935388136208471
193,VC DMSO 0.3%,1,0.00411522633744856,Mo_62,K23,-2.38560627359831,0.980326439913432
194,VC DMSO 0.3%,1,0.0123456790123457,Mo_62,K21,-1.90848501887865,0.928781305167116
195,VC DMSO 0.3%,1,0.037037037037037,Mo_62,K19,-1.43136376415899,1.06312657299982
196,VC DMSO 0.3%,1,0.111111111111111,Mo_62,K17,-0.954242509439325,0.913327499870029
197,VC DMSO 0.3%,1,0.333333333333333,Mo_62,K15,-0.477121254719662,0.757284179164072
198,VC DMSO 0.3%,1,1,Mo_62,K13,0,0.186048190123598
199,VC DMSO 0.3%,1,0.00411522633744856,Mo_63,K24,-2.38560627359831,1.12385863446404
200,VC DMSO 0.3%,1,0.0123456790123457,Mo_63,K22,-1.90848501887865,1.07036867394921
201,VC DMSO 0.3%,1,0.037037037037037,Mo_63,K20,-1.43136376415899,1.02946313521725
202,VC DMSO 0.3%,1,0.111111111111111,Mo_63,K18,-0.954242509439325,0.993005370838919
203,VC DMSO 0.3%,1,0.333333333333333,Mo_63,K16,-0.477121254719662,0.915670015243944
204,VC DMSO 0.3%,1,1,Mo_63,K14,0,0.927206233922793
205,VC DMSO 0.3%,1,0.00411522633744856,Mo_64,L11,-2.38560627359831,0.919532663635908
206,VC DMSO 0.3%,1,0.0123456790123457,Mo_64,L9,-1.90848501887865,0.957138278343771
207,VC DMSO 0.3%,1,0.037037037037037,Mo_64,L7,-1.43136376415899,0.900981580067793
208,VC DMSO 0.3%,1,0.111111111111111,Mo_64,L5,-0.954242509439325,0.993840830764348
209,VC DMSO 0.3%,1,0.333333333333333,Mo_64,L3,-0.477121254719662,0.89677158776015
210,VC DMSO 0.3%,1,1,Mo_64,L1,0,0.607452552615754
211,VC DMSO 0.3%,1,0.00411522633744856,Mo_71,M11,-2.38560627359831,1.04440776423984
212,VC DMSO 0.3%,1,0.0123456790123457,Mo_71,M9,-1.90848501887865,1.06685239588253
213,VC DMSO 0.3%,1,0.037037037037037,Mo_71,M7,-1.43136376415899,1.03396387077451
214,VC DMSO 0.3%,1,0.111111111111111,Mo_71,M5,-0.954242509439325,1.07552110579929
215,VC DMSO 0.3%,1,0.333333333333333,Mo_71,M3,-0.477121254719662,0.982390926220588
216,VC DMSO 0.3%,1,1,Mo_71,M1,0,0.774581743029417
