,vc,br,conc,cond,well,log10conc,dose_conds_rlu,dose_conds_rfu
221,VC DMSO 0.3%,3,0.333333333333333,Mo_71,M3,-0.477121254719662,0.360256961718245,0.581667800522991
222,VC DMSO 0.3%,3,1,Mo_71,M1,0,0.103115551672956,-0.109804848895123
223,VC DMSO 0.3%,3,0.00411522633744856,Mo_72,M12,-2.38560627359831,1.02202033317753,0.991390692786866
224,VC DMSO 0.3%,3,0.0123456790123457,Mo_72,M10,-1.90848501887865,1.0395106270859,1.08173424928469
225,VC DMSO 0.3%,3,0.037037037037037,Mo_72,M8,-1.43136376415899,0.789697917276307,1.10152627413176
226,VC DMSO 0.3%,3,0.111111111111111,Mo_72,M6,-0.954242509439325,0.621499613103901,1.13065669335357
227,VC DMSO 0.3%,3,0.333333333333333,Mo_72,M4,-0.477121254719662,0.0140843839965455,-0.128949134123556
228,VC DMSO 0.3%,3,1,Mo_72,M2,0,-0.235474822422185,-0.25446922213418
229,VC DMSO 0.3%,3,0.00411522633744856,Pf_62,M23,-2.38560627359831,0.83511644761655,0.942342188109785
230,VC DMSO 0.3%,3,0.0123456790123457,Pf_62,M21,-1.90848501887865,0.954827289591523,0.95600030380154
231,VC DMSO 0.3%,3,0.037037037037037,Pf_62,M19,-1.43136376415899,0.84717871512858,1.09539219518976
232,VC DMSO 0.3%,3,0.111111111111111,Pf_62,M17,-0.954242509439325,0.80156306937696,1.12696149890035
233,VC DMSO 0.3%,3,0.333333333333333,Pf_62,M15,-0.477121254719662,1.0988734531824,0.972529778099245
234,VC DMSO 0.3%,3,1,Pf_62,M13,0,0.991121491357193,1.02470290136995
235,VC DMSO 0.3%,3,0.00411522633744856,Pf_63,M24,-2.38560627359831,0.65690024380441,0.850160531291888
236,VC DMSO 0.3%,3,0.0123456790123457,Pf_63,M22,-1.90848501887865,0.885928476726561,0.941878365197212
237,VC DMSO 0.3%,3,0.037037037037037,Pf_63,M20,-1.43136376415899,0.605794739268471,0.998340310323973
