"","vc","conc","cond","log10conc","Mm_in_infection_median","Dd_in_infection_median","Mm_in_infection_mad","Dd_in_infection_mad","Mm_in_infection_mean","Dd_in_infection_mean","Mm_in_infection_sd","Dd_in_infection_sd"
"144","VC DMSO 0.3%",1,"Ko_22",0,1.06888058336074,1.08058222276074,0,0,1.06888058336074,1.08058222276074,NA,NA
"145","VC DMSO 0.3%",0.00411522633744856,"Ko_25",-2.38560627359831,1.1763347202594,1.08835565306402,0,0,1.1763347202594,1.08835565306402,NA,NA
"146","VC DMSO 0.3%",0.0123456790123457,"Ko_25",-1.90848501887865,0.983903969751966,1.0355324276063,0,0,0.983903969751966,1.0355324276063,NA,NA
"147","VC DMSO 0.3%",0.037037037037037,"Ko_25",-1.43136376415899,1.01625839675604,1.10254052267782,0,0,1.01625839675604,1.10254052267782,NA,NA
"148","VC DMSO 0.3%",0.111111111111111,"Ko_25",-0.954242509439325,0.979335879294958,1.03924479765542,0,0,0.979335879294958,1.03924479765542,NA,NA
"149","VC DMSO 0.3%",0.333333333333333,"Ko_25",-0.477121254719663,0.898478600697888,1.13505046217199,0,0,0.898478600697888,1.13505046217199,NA,NA
"150","VC DMSO 0.3%",1,"Ko_25",0,0.260764078488161,0.751708883736747,0,0,0.260764078488161,0.751708883736747,NA,NA
"151","VC DMSO 0.3%",0.00411522633744856,"Ko_26",-2.38560627359831,1.21572082215201,1.07208898904386,0,0,1.21572082215201,1.07208898904386,NA,NA
"152","VC DMSO 0.3%",0.0123456790123457,"Ko_26",-1.90848501887865,1.1984089464478,1.08736014929607,0,0,1.1984089464478,1.08736014929607,NA,NA
"153","VC DMSO 0.3%",0.037037037037037,"Ko_26",-1.43136376415899,1.0927030592884,1.07499188435553,0,0,1.0927030592884,1.07499188435553,NA,NA
"154","VC DMSO 0.3%",0.111111111111111,"Ko_26",-0.954242509439325,1.14045727023877,0.9771339744856,0,0,1.14045727023877,0.9771339744856,NA,NA
"155","VC DMSO 0.3%",0.333333333333333,"Ko_26",-0.477121254719663,1.08826724369847,1.00302101048706,0,0,1.08826724369847,1.00302101048706,NA,NA
"156","VC DMSO 0.3%",1,"Ko_26",0,0.594721191718061,1.16044344207632,0,0,0.594721191718061,1.16044344207632,NA,NA
"157","VC DMSO 0.3%",0.00411522633744856,"Ko_29",-2.38560627359831,0.911316475803377,0.95939615453266,0,0,0.911316475803377,0.95939615453266,NA,NA
"158","VC DMSO 0.3%",0.0123456790123457,"Ko_29",-1.90848501887865,0.977362978945854,0.97504060736108,0,0,0.977362978945854,0.97504060736108,NA,NA
"159","VC DMSO 0.3%",0.037037037037037,"Ko_29",-1.43136376415899,1.15079214174076,0.936469749844079,0,0,1.15079214174076,0.936469749844079,NA,NA
"160","VC DMSO 0.3%",0.111111111111111,"Ko_29",-0.954242509439325,1.20535432316159,1.04494193197281,0,0,1.20535432316159,1.04494193197281,NA,NA
"161","VC DMSO 0.3%",0.333333333333333,"Ko_29",-0.477121254719663,0.538199161909405,1.1487752852038,0,0,0.538199161909405,1.1487752852038,NA,NA
"162","VC DMSO 0.3%",1,"Ko_29",0,-0.20224848843876,-0.0928089132882154,0,0,-0.20224848843876,-0.0928089132882154,NA,NA
"163","VC DMSO 0.3%",0.00411522633744856,"Ko_30",-2.38560627359831,0.871004389504303,0.855265769351805,0,0,0.871004389504303,0.855265769351805,NA,NA
"164","VC DMSO 0.3%",0.0123456790123457,"Ko_30",-1.90848501887865,1.09142814129724,0.943271075270661,0,0,1.09142814129724,0.943271075270661,NA,NA
"165","VC DMSO 0.3%",0.037037037037037,"Ko_30",-1.43136376415899,1.18093449031396,0.95926340448961,0,0,1.18093449031396,0.95926340448961,NA,NA
"166","VC DMSO 0.3%",0.111111111111111,"Ko_30",-0.954242509439325,1.18212045530825,0.898811007695022,0,0,1.18212045530825,0.898811007695022,NA,NA
"167","VC DMSO 0.3%",0.333333333333333,"Ko_30",-0.477121254719663,-0.188526409464335,-0.0498529973407301,0,0,-0.188526409464335,-0.0498529973407301,NA,NA
"168","VC DMSO 0.3%",1,"Ko_30",0,-0.197617370639423,-0.101836931759584,0,0,-0.197617370639423,-0.101836931759584,NA,NA
"169","VC DMSO 0.3%",0.00411522633744856,"Ko_43",-2.38560627359831,0.566063291875608,1.03966271899158,0,0,0.566063291875608,1.03966271899158,NA,NA
"170","VC DMSO 0.3%",0.0123456790123457,"Ko_43",-1.90848501887865,1.16885214796681,1.06829910488715,0,0,1.16885214796681,1.06829910488715,NA,NA
